,Category,Value,precision,recall,fbeta
0,occupation,Exec-managerial,0.9590583418628454,0.9522357723577236,0.9556348801631821
0,occupation,Handlers-cleaners,0.9722222222222222,0.813953488372093,0.8860759493670887
0,occupation,Prof-specialty,0.9619771863117871,0.9526627218934911,0.9572972972972973
0,occupation,Other-service,0.9732142857142857,0.7956204379562044,0.8755020080321285
0,occupation,Sales,0.9479277364505845,0.9074262461851476,0.9272349272349273
0,occupation,Craft-repair,0.944,0.8891280947255114,0.9157427937915743
0,occupation,Transport-moving,0.9710144927536232,0.8375,0.8993288590604026
0,occupation,Farming-fishing,0.9619047619047619,0.8782608695652174,0.9181818181818183
0,occupation,Machine-op-inspct,0.9342105263157895,0.852,0.891213389121339
0,occupation,Tech-support,0.96,0.9328621908127208,0.9462365591397849
0,occupation,?,0.9273743016759777,0.8691099476439791,0.8972972972972973
0,occupation,Protective-serv,0.9554455445544554,0.9146919431279621,0.9346246973365617
0,occupation,Armed-Forces,1.0,1.0,1.0
0,occupation,Priv-house-serv,1.0,1.0,1.0
0,relationship,Not-in-family,0.97265625,0.8726635514018691,0.919950738916256
0,relationship,Husband,0.9517612354676384,0.9268333896586685,0.939131923636675
0,relationship,Wife,0.948509485094851,0.9395973154362416,0.9440323668240054
0,relationship,Own-child,0.9827586206896551,0.8507462686567164,0.9119999999999999
0,relationship,Unmarried,0.9949494949494949,0.9036697247706422,0.9471153846153846
0,relationship,Other-relative,1.0,0.7837837837837838,0.8787878787878788
0,race,White,0.9553415061295972,0.9197695658282984,0.9372181258500967
0,race,Black,0.9626666666666667,0.9328165374677002,0.9475065616797901
0,race,Asian-Pac-Islander,0.947565543071161,0.9166666666666666,0.9318600368324125
0,race,Amer-Indian-Eskimo,0.8857142857142857,0.8611111111111112,0.8732394366197184
0,race,Other,0.96,0.96,0.96
0,sex,Male,0.954001554001554,0.9214950465325727,0.9374665954035275
0,sex,Female,0.9615728328865059,0.9126378286683631,0.936466492602263
0,native-country,United-States,0.9549002601908065,0.9212104309022452,0.9377528568386684
0,native-country,Cuba,0.9583333333333334,0.92,0.9387755102040817
0,native-country,Jamaica,0.9,0.9,0.9
0,native-country,India,0.8636363636363636,0.95,0.9047619047619048
0,native-country,?,0.9770992366412213,0.8767123287671232,0.924187725631769
0,native-country,Mexico,0.9655172413793104,0.8484848484848485,0.9032258064516129
0,native-country,South,0.8823529411764706,0.9375,0.9090909090909091
0,native-country,Puerto-Rico,0.9230769230769231,1.0,0.9600000000000001
0,native-country,Honduras,1.0,1.0,1.0
0,native-country,England,0.9642857142857143,0.9,0.9310344827586207
0,native-country,Canada,1.0,0.8974358974358975,0.945945945945946
0,native-country,Germany,1.0,0.9318181818181818,0.9647058823529412
0,native-country,Iran,1.0,0.9444444444444444,0.9714285714285714
0,native-country,Philippines,1.0,0.9344262295081968,0.9661016949152543
0,native-country,Italy,1.0,0.92,0.9583333333333334
0,native-country,Poland,0.9166666666666666,0.9166666666666666,0.9166666666666666
0,native-country,Columbia,1.0,0.5,0.6666666666666666
0,native-country,Cambodia,0.8571428571428571,0.8571428571428571,0.8571428571428571
0,native-country,Thailand,1.0,0.6666666666666666,0.8
0,native-country,Ecuador,1.0,1.0,1.0
0,native-country,Laos,0.6666666666666666,1.0,0.8
0,native-country,Taiwan,0.9523809523809523,1.0,0.975609756097561
0,native-country,Haiti,1.0,0.75,0.8571428571428571
0,native-country,Portugal,1.0,1.0,1.0
0,native-country,Dominican-Republic,1.0,1.0,1.0
0,native-country,El-Salvador,1.0,1.0,1.0
0,native-country,France,1.0,0.9166666666666666,0.9565217391304348
0,native-country,Guatemala,0.75,1.0,0.8571428571428571
0,native-country,China,0.9523809523809523,1.0,0.975609756097561
0,native-country,Japan,0.9545454545454546,0.875,0.9130434782608695
0,native-country,Yugoslavia,1.0,1.0,1.0
0,native-country,Peru,0.6666666666666666,1.0,0.8
0,native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
0,native-country,Scotland,1.0,1.0,1.0
0,native-country,Trinadad&Tobago,0.5,0.5,0.5
0,native-country,Greece,0.875,0.875,0.875
0,native-country,Nicaragua,1.0,0.0,0.0
0,native-country,Vietnam,1.0,0.8,0.888888888888889
0,native-country,Hong,0.8571428571428571,1.0,0.923076923076923
0,native-country,Ireland,1.0,1.0,1.0
0,native-country,Hungary,1.0,0.6666666666666666,0.8
0,native-country,Holand-Netherlands,1.0,1.0,1.0
